epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9798,1.53098,2.8642,1.09025,0.07752,0.08538,0.07905,0.06044,1.43824,3.60303,1.07897,0.000325581,0.000325581,0.0677674
2,48.0889,1.27692,1.55916,1.00109,0.19223,0.06138,0.1012,0.07018,1.30118,2.38131,1.03743,0.000658843,0.000658843,0.0347674
3,77.4162,1.20808,1.38767,0.98428,0.52278,0.10026,0.10707,0.07221,1.30355,1.58184,1.03811,0.000991817,0.000991817,0.00176701
4,108.327,1.2166,1.32676,0.97353,0.38991,0.12805,0.1251,0.08467,1.20476,1.65238,1.00514,0.000999023,0.000999023,0.000999023
5,140.749,1.13095,1.20619,0.95453,0.48355,0.09961,0.09632,0.06277,1.28801,1.59749,1.04839,0.000998264,0.000998264,0.000998264
6,178.513,1.18533,1.24872,0.96366,0.62841,0.13087,0.13061,0.08356,1.26486,1.49369,1.02967,0.000997288,0.000997288,0.000997288
7,219.38,1.14662,1.17595,0.94748,0.66285,0.13632,0.15828,0.10428,1.15999,1.31803,0.98933,0.000996097,0.000996097,0.000996097
8,259.341,1.12633,1.17492,0.94495,0.80524,0.13402,0.17236,0.10903,1.21409,1.30123,1.02772,0.00099469,0.00099469,0.00099469
9,298.838,1.11865,1.12271,0.94566,0.63861,0.19876,0.20501,0.1274,1.14273,1.2889,0.99238,0.000993068,0.000993068,0.000993068
10,336.665,1.09423,1.05272,0.93027,0.63876,0.19548,0.18937,0.13057,1.1017,1.42307,0.98741,0.000991232,0.000991232,0.000991232
11,381.693,1.1501,1.14478,0.94774,0.62939,0.19911,0.20934,0.13467,1.23476,1.38787,1.01715,0.000989183,0.000989183,0.000989183
12,417.482,1.0648,0.99769,0.93191,0.49732,0.25072,0.27126,0.14905,1.18367,1.27081,1.01275,0.000986922,0.000986922,0.000986922
13,456.361,1.08703,1.00784,0.93513,0.65503,0.21404,0.22196,0.14044,1.14424,1.23595,1.00243,0.000984449,0.000984449,0.000984449
14,496.317,1.04547,0.96217,0.92329,0.7302,0.22313,0.26037,0.15956,1.05795,1.13891,0.97567,0.000981765,0.000981765,0.000981765
15,535.975,1.09033,1.0433,0.93577,0.62219,0.19911,0.2186,0.13833,1.12152,1.2461,0.99298,0.000978873,0.000978873,0.000978873
16,575.635,1.0691,0.99452,0.92917,0.66723,0.20242,0.24176,0.15074,1.15842,1.2343,0.98788,0.000975773,0.000975773,0.000975773
