epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7007,0.94413,1.45077,0.88462,0.62048,0.35805,0.41941,0.2783,1.10004,1.64208,1.00035,9.92248e-05,9.92248e-05,0.0670243
2,116.907,0.86902,1.1923,0.86783,0.69549,0.43753,0.4961,0.30664,1.01088,1.15363,0.96281,0.000198685,0.000198685,0.0337904
3,190.913,0.87673,1.10929,0.86824,0.74082,0.42307,0.49733,0.30201,1.01104,1.0261,0.95906,0.000295988,0.000295988,0.000554386
4,271.426,0.85258,1.00007,0.85698,0.64784,0.47737,0.55767,0.31268,1.01486,1.12168,0.95317,0.000292732,0.000292732,0.000292732
5,354.344,0.83595,0.95137,0.84671,0.6639,0.48725,0.56064,0.31349,1.02314,0.9989,0.96184,0.000287162,0.000287162,0.000287162
6,431.548,0.83147,0.92637,0.84952,0.79553,0.43192,0.49096,0.30956,0.98939,1.00166,0.94549,0.000280105,0.000280105,0.000280105
7,510.777,0.84002,0.9209,0.85531,0.78164,0.4383,0.48796,0.30413,1.01243,1.1178,0.95164,0.000271639,0.000271639,0.000271639
8,587.438,0.82014,0.89802,0.85234,0.744,0.44254,0.5159,0.30135,1.02275,1.01271,0.95744,0.000261857,0.000261857,0.000261857
9,666.512,0.82917,0.95462,0.85029,0.82712,0.42189,0.50318,0.29181,1.04263,1.00863,0.96428,0.000250866,0.000250866,0.000250866
10,747.809,0.8064,0.86897,0.85006,0.7999,0.41838,0.48505,0.29046,1.01543,1.02132,0.95887,0.000238786,0.000238786,0.000238786
11,821.8,0.82409,0.88994,0.85135,0.76831,0.44546,0.48168,0.30326,1.00158,0.98724,0.94713,0.00022575,0.00022575,0.00022575
12,907.782,0.80836,0.84885,0.84619,0.81653,0.43645,0.50898,0.31286,1.01356,0.98501,0.95264,0.0002119,0.0002119,0.0002119
